[model] v1 | 6.25M params total (published backbone 5.29M + ICL module 0.96M) | device=cuda | phase=icl
[data] train sessions=837 val sessions=192
[data] episodic users=86 train + 10 meta-val (held out from module training)
[pretrained] loaded 51 backbone tensors from /data2/chenyuxiang/code/emg2qwerty/models/generic.ckpt; 98 context tensors keep their initialization
step 12050/20000 | loss 0.6290 | lr 8.09e-05 | 2.47 it/s
step 12100/20000 | loss 0.6255 | lr 8.02e-05 | 2.98 it/s
step 12150/20000 | loss 0.6524 | lr 7.94e-05 | 2.71 it/s
step 12200/20000 | loss 0.6815 | lr 7.86e-05 | 2.65 it/s
step 12250/20000 | loss 0.7296 | lr 7.79e-05 | 2.80 it/s
step 12300/20000 | loss 0.5968 | lr 7.71e-05 | 2.08 it/s
step 12350/20000 | loss 0.7429 | lr 7.64e-05 | 2.41 it/s
step 12400/20000 | loss 0.6998 | lr 7.56e-05 | 1.85 it/s
step 12450/20000 | loss 0.5284 | lr 7.49e-05 | 3.96 it/s
step 12500/20000 | loss 0.8179 | lr 7.42e-05 | 1.91 it/s
step 12550/20000 | loss 0.6717 | lr 7.34e-05 | 1.95 it/s
step 12600/20000 | loss 0.6653 | lr 7.27e-05 | 3.22 it/s
step 12650/20000 | loss 0.6676 | lr 7.19e-05 | 1.90 it/s
step 12700/20000 | loss 0.6036 | lr 7.12e-05 | 3.44 it/s
step 12750/20000 | loss 0.6445 | lr 7.05e-05 | 2.34 it/s
step 12800/20000 | loss 0.6147 | lr 6.97e-05 | 2.69 it/s
step 12850/20000 | loss 0.6445 | lr 6.90e-05 | 3.13 it/s
step 12900/20000 | loss 0.5698 | lr 6.83e-05 | 2.90 it/s
step 12950/20000 | loss 0.7129 | lr 6.76e-05 | 3.16 it/s
step 13000/20000 | loss 0.5932 | lr 6.68e-05 | 2.76 it/s
step 13050/20000 | loss 0.7099 | lr 6.61e-05 | 3.07 it/s
step 13100/20000 | loss 0.8685 | lr 6.54e-05 | 1.82 it/s
step 13150/20000 | loss 0.6656 | lr 6.47e-05 | 2.60 it/s
step 13200/20000 | loss 0.5686 | lr 6.40e-05 | 2.73 it/s
step 13250/20000 | loss 0.7561 | lr 6.33e-05 | 3.24 it/s
step 13300/20000 | loss 0.6093 | lr 6.26e-05 | 3.85 it/s
step 13350/20000 | loss 0.6396 | lr 6.19e-05 | 2.84 it/s
step 13400/20000 | loss 0.6364 | lr 6.12e-05 | 3.34 it/s
step 13450/20000 | loss 0.6668 | lr 6.05e-05 | 2.20 it/s
step 13500/20000 | loss 0.6777 | lr 5.98e-05 | 2.40 it/s
step 13550/20000 | loss 0.6093 | lr 5.91e-05 | 2.94 it/s
step 13600/20000 | loss 0.7101 | lr 5.84e-05 | 2.80 it/s
step 13650/20000 | loss 0.6912 | lr 5.77e-05 | 2.57 it/s
step 13700/20000 | loss 0.5719 | lr 5.70e-05 | 2.55 it/s
step 13750/20000 | loss 0.6503 | lr 5.64e-05 | 3.31 it/s
step 13800/20000 | loss 0.6414 | lr 5.57e-05 | 2.67 it/s
step 13850/20000 | loss 0.7206 | lr 5.50e-05 | 2.50 it/s
step 13900/20000 | loss 0.5819 | lr 5.44e-05 | 3.47 it/s
step 13950/20000 | loss 0.5671 | lr 5.37e-05 | 3.67 it/s
step 14000/20000 | loss 0.5760 | lr 5.30e-05 | 2.34 it/s
[val] step 14000: mode-B CER 22.15 | mode-A CER 22.00 | conditioning gain -0.15 | loss 0.6598
step 14050/20000 | loss 0.6384 | lr 5.24e-05 | 2.47 it/s
