[model] v1 | 6.25M params total (published backbone 5.29M + ICL module 0.96M) | device=cuda | phase=icl
[data] train sessions=837 val sessions=192
[data] episodic users=86 train + 10 meta-val (held out from module training)
step 25400/70000 | loss 1.8926 | lr 7.48e-04 | 2.31 it/s
step 25500/70000 | loss 1.9010 | lr 7.46e-04 | 3.07 it/s
step 25600/70000 | loss 1.8169 | lr 7.45e-04 | 3.01 it/s
step 25700/70000 | loss 1.9417 | lr 7.43e-04 | 2.94 it/s
step 25800/70000 | loss 1.9563 | lr 7.41e-04 | 2.55 it/s
step 25900/70000 | loss 1.8513 | lr 7.39e-04 | 2.53 it/s
step 26000/70000 | loss 1.8890 | lr 7.37e-04 | 2.81 it/s
step 26100/70000 | loss 1.8997 | lr 7.35e-04 | 2.55 it/s
step 26200/70000 | loss 1.8531 | lr 7.33e-04 | 3.23 it/s
step 26300/70000 | loss 1.8305 | lr 7.31e-04 | 2.82 it/s
step 26400/70000 | loss 1.9495 | lr 7.29e-04 | 1.91 it/s
step 26500/70000 | loss 1.9182 | lr 7.27e-04 | 3.06 it/s
step 26600/70000 | loss 1.8458 | lr 7.25e-04 | 2.77 it/s
step 26700/70000 | loss 1.8401 | lr 7.23e-04 | 2.74 it/s
step 26800/70000 | loss 1.8887 | lr 7.21e-04 | 2.77 it/s
step 26900/70000 | loss 1.8573 | lr 7.19e-04 | 2.65 it/s
step 27000/70000 | loss 1.8464 | lr 7.17e-04 | 2.37 it/s
step 27100/70000 | loss 1.8402 | lr 7.15e-04 | 2.81 it/s
step 27200/70000 | loss 1.8518 | lr 7.13e-04 | 3.07 it/s
step 27300/70000 | loss 1.8272 | lr 7.11e-04 | 2.28 it/s
step 27400/70000 | loss 1.8979 | lr 7.09e-04 | 2.08 it/s
step 27500/70000 | loss 1.9046 | lr 7.07e-04 | 2.27 it/s
[val] step 27500: mode-B CER 61.25 | mode-A CER 60.57 | conditioning gain -0.68 | loss 2.2318
[val] new best CER 61.25 -> saved best.pt
step 27600/70000 | loss 1.8622 | lr 7.05e-04 | 2.29 it/s
step 27700/70000 | loss 1.8903 | lr 7.03e-04 | 2.26 it/s
step 27800/70000 | loss 1.9502 | lr 7.01e-04 | 2.82 it/s
step 27900/70000 | loss 1.8422 | lr 6.99e-04 | 2.66 it/s
step 28000/70000 | loss 1.8574 | lr 6.97e-04 | 2.87 it/s
step 28100/70000 | loss 1.8564 | lr 6.95e-04 | 2.97 it/s
step 28200/70000 | loss 1.8632 | lr 6.92e-04 | 2.41 it/s
step 28300/70000 | loss 1.8464 | lr 6.90e-04 | 2.31 it/s
step 28400/70000 | loss 1.8344 | lr 6.88e-04 | 3.06 it/s
step 28500/70000 | loss 1.8413 | lr 6.86e-04 | 2.64 it/s
step 28600/70000 | loss 1.8918 | lr 6.84e-04 | 3.08 it/s
step 28700/70000 | loss 1.8878 | lr 6.82e-04 | 3.14 it/s
step 28800/70000 | loss 1.8617 | lr 6.80e-04 | 2.51 it/s
step 28900/70000 | loss 1.8539 | lr 6.78e-04 | 3.04 it/s
step 29000/70000 | loss 1.7655 | lr 6.76e-04 | 2.14 it/s
step 29100/70000 | loss 1.8510 | lr 6.74e-04 | 3.01 it/s
step 29200/70000 | loss 1.8537 | lr 6.72e-04 | 2.34 it/s
